season,week,team,implied_team_total
2023,21,BAL,19.75
2023,21,SF,22.5
2023,22,KC,24.25
2024,1,KC,21.5
2024,1,PHI,23.75
2024,1,ATL,19.5
2024,1,BUF,19.75
2024,1,CHI,19.5
2024,1,CIN,16.25
2024,1,IND,26.0
2024,1,MIA,23.0
2024,1,NO,19.0
2024,1,NYG,21.75
2024,1,LAC,19.0
2024,1,SEA,17.75
2024,1,CLE,19.75
2024,1,TB,19.0
2024,1,DET,24.5
2024,1,SF,19.75
2024,2,MIA,23.0
2024,2,BAL,16.0
2024,2,CAR,22.0
2024,2,DAL,20.25
2024,2,DET,22.0
2024,2,GB,22.25
2024,2,JAX,19.25
2024,2,MIN,25.5
2024,2,NE,21.25
2024,2,TEN,22.5
2024,2,WAS,20.5
2024,2,ARI,24.25
2024,2,DEN,19.75
2024,2,KC,20.5
2024,2,HOU,19.75
2024,2,PHI,20.5
2024,3,NYJ,16.25
2024,3,CLE,15.75
2024,3,IND,20.75
2024,3,MIN,24.0
2024,3,NO,23.25
2024,3,PIT,16.5
2024,3,TB,17.25
2024,3,TEN,17.0
2024,3,LV,17.25
2024,3,SEA,18.75
2024,3,ARI,27.25
2024,3,DAL,24.5
2024,3,LA,25.25
2024,3,ATL,24.5
2024,3,BUF,21.25
2024,3,CIN,19.25
2024,4,NYG,25.25
2024,4,ATL,19.5
2024,4,CAR,25.75
2024,4,CHI,18.5
2024,4,GB,20.75
2024,4,HOU,19.5
2024,4,IND,21.25
2024,4,NYJ,16.0
2024,4,TB,21.5
2024,4,ARI,22.75
2024,4,SF,15.5
2024,4,LAC,24.5
2024,4,LV,19.5
2024,4,BAL,22.0
2024,4,MIA,17.25
2024,4,DET,21.5
2024,5,ATL,20.75
2024,5,MIN,19.75
2024,5,CHI,18.0
2024,5,CIN,25.5
2024,5,HOU,23.5
2024,5,JAX,20.75
2024,5,NE,19.5
2024,5,WAS,20.5
2024,5,DEN,16.5
2024,5,SF,20.75
2024,5,LA,26.25
2024,5,SEA,17.75
2024,5,PIT,20.5
2024,5,KC,18.75
2024,6,SEA,26.25
2024,6,CHI,23.0
2024,6,BAL,22.5
2024,6,GB,20.75
2024,6,NE,22.5
2024,6,NO,23.0
2024,6,PHI,17.0
2024,6,TEN,19.75
2024,6,DEN,20.0
2024,6,LV,20.0
2024,6,CAR,25.75
2024,6,DAL,28.0
2024,6,NYG,25.25
2024,6,NYJ,21.5
2024,7,NO,19.75
2024,7,JAX,17.75
2024,7,ATL,24.25
2024,7,BUF,15.75
2024,7,CLE,23.75
2024,7,GB,22.5
2024,7,IND,20.5
2024,7,MIN,24.75
2024,7,NYG,22.5
2024,7,LA,18.0
2024,7,WAS,20.5
2024,7,SF,22.5
2024,7,PIT,21.5
2024,7,TB,27.75
