season,game_id,home_team,away_team,home_seed,away_seed,home_points,away_points,favorite_team,underdog_team,favorite_seed,underdog_seed,upset
2016,59844,Virginia,Hampton,1,16,81,45,Virginia,Hampton,1,16,0
2016,59845,Kansas,Austin Peay,1,16,105,79,Kansas,Austin Peay,1,16,0
2016,59846,Purdue,Little Rock,5,12,83,85,Purdue,Little Rock,5,12,1
2016,59847,Miami,Buffalo,3,14,79,72,Miami,Buffalo,3,14,0
2016,59848,Indiana,Chattanooga,5,12,99,74,Indiana,Chattanooga,5,12,0
2016,59849,North Carolina,Florida Gulf Coast,1,16,83,67,North Carolina,Florida Gulf Coast,1,16,0
2016,59850,Utah,Fresno State,3,14,80,69,Utah,Fresno State,3,14,0
2016,59851,Arizona,Wichita State,6,11,55,65,Arizona,Wichita State,6,11,1
2016,59852,Kentucky,Stony Brook,4,13,85,57,Kentucky,Stony Brook,4,13,0
2016,59853,USC,Providence,8,9,69,70,USC,Providence,8,9,1
2016,59854,Seton Hall,Gonzaga,6,11,52,68,Seton Hall,Gonzaga,6,11,1
2016,59856,Dayton,Syracuse,7,10,51,70,Dayton,Syracuse,7,10,1
2016,59857,Villanova,UNC Asheville,2,15,86,56,Villanova,UNC Asheville,2,15,0
2016,59858,Oregon State,VCU,7,10,67,75,Oregon State,VCU,7,10,1
2016,59859,California,Hawai'i,4,13,66,77,California,Hawai'i,4,13,1
2016,59860,Michigan State,Middle Tennessee,2,15,81,90,Michigan State,Middle Tennessee,2,15,1
2016,59861,Iowa,Temple,7,10,72,70,Iowa,Temple,7,10,0
2016,59862,Oklahoma,Cal State Bakersfield,2,15,82,68,Oklahoma,Cal State Bakersfield,2,15,0
2016,59863,Maryland,South Dakota State,5,12,79,74,Maryland,South Dakota State,5,12,0
2016,59864,Wisconsin,Pittsburgh,7,10,47,43,Wisconsin,Pittsburgh,7,10,0
2016,59865,West Virginia,Stephen F. Austin,3,14,56,70,West Virginia,Stephen F. Austin,3,14,1
2016,59866,Texas A&M,Green Bay,3,14,92,65,Texas A&M,Green Bay,3,14,0
2016,59867,Oregon,Holy Cross,1,16,91,52,Oregon,Holy Cross,1,16,0
2016,59868,Xavier,Weber State,2,15,71,53,Xavier,Weber State,2,15,0
2016,59869,Texas,Northern Iowa,6,11,72,75,Texas,Northern Iowa,6,11,1
2016,59870,Notre Dame,Michigan,6,11,70,63,Notre Dame,Michigan,6,11,0
2016,59871,Saint Joseph's,Cincinnati,8,9,78,76,Saint Joseph's,Cincinnati,8,9,0
2016,59875,Miami,Wichita State,3,11,65,57,Miami,Wichita State,3,11,0
2016,59876,Duke,Yale,4,12,71,64,Duke,Yale,4,12,0
2016,59877,Kentucky,Indiana,4,5,67,73,Kentucky,Indiana,4,5,1
2016,59878,Iowa State,Little Rock,4,12,78,61,Iowa State,Little Rock,4,12,0
2016,59879,Virginia,Butler,1,9,77,69,Virginia,Butler,1,9,0
2016,59880,Kansas,UConn,1,9,73,61,Kansas,UConn,1,9,0
2016,59881,Utah,Gonzaga,3,11,59,82,Utah,Gonzaga,3,11,1
2016,59882,North Carolina,Providence,1,9,85,66,North Carolina,Providence,1,9,0
2016,59885,Villanova,Iowa,2,7,87,68,Villanova,Iowa,2,7,0
2016,59886,Notre Dame,Stephen F. Austin,6,14,76,75,Notre Dame,Stephen F. Austin,6,14,0
2016,59887,Oklahoma,VCU,2,10,85,81,Oklahoma,VCU,2,10,0
2016,59888,Syracuse,Middle Tennessee,10,15,75,50,Syracuse,Middle Tennessee,10,15,0
2016,59889,Maryland,Hawai'i,5,13,73,60,Maryland,Hawai'i,5,13,0
2016,59890,Texas A&M,Northern Iowa,3,11,92,88,Texas A&M,Northern Iowa,3,11,0
2016,59891,Xavier,Wisconsin,2,7,63,66,Xavier,Wisconsin,2,7,1
2016,59892,Oregon,Saint Joseph's,1,8,69,64,Oregon,Saint Joseph's,1,8,0
2016,59913,Villanova,Miami,2,3,92,69,Villanova,Miami,2,3,0
2016,59914,Oklahoma,Texas A&M,2,3,77,63,Oklahoma,Texas A&M,2,3,0
2016,59915,Kansas,Maryland,1,5,79,63,Kansas,Maryland,1,5,0
