season,team,total_minutes,returning_minutes,continuity_pct
2016,Louisiana Tech,6725,5173,0.7692193308550186
2016,Louisville,6199,2928,0.4723342474592676
2016,Loyola Chicago,6475,5822,0.8991505791505792
2016,Loyola Maryland,6150,5615,0.9130081300813008
2016,Loyola Marymount,6325,2860,0.45217391304347826
2016,Maine,6075,3492,0.5748148148148148
2016,Manhattan,6275,5315,0.847011952191235
2016,Marist,6100,2723,0.44639344262295083
2016,Marquette,6700,3637,0.5428358208955224
2016,Marshall,6650,4997,0.7514285714285714
2016,Maryland Eastern Shore,6475,3409,0.5264864864864864
2016,Maryland,7225,4959,0.6863667820069204
2016,Massachusetts,6500,5441,0.837076923076923
2016,McNeese,5925,3691,0.6229535864978903
2016,Memphis,6850,3459,0.504963503649635
2016,Mercer,6950,5753,0.8277697841726619
2016,Miami (OH),6600,5672,0.8593939393939394
2016,Miami,7025,6535,0.9302491103202847
2016,Michigan State,7049,5757,0.816711590296496
2016,Michigan,7225,6967,0.9642906574394464
2016,Middle Tennessee,7025,6113,0.8701779359430605
2016,Milwaukee,6725,5302,0.7884014869888476
2016,Minnesota,6275,3876,0.6176892430278884
2016,Mississippi State,6225,4356,0.6997590361445784
2016,Mississippi Valley State,7154,2749,0.3842605535364831
2016,Missouri State,6450,2941,0.45596899224806203
2016,Missouri,6200,3246,0.5235483870967742
2016,Monmouth,7251,6774,0.9342159702110053
2016,Montana,6650,3974,0.597593984962406
2016,Montana State,6226,2950,0.47381946675232894
2016,Morehead State,7475,3984,0.5329765886287625
2016,Morgan State,6050,3514,0.5808264462809918
2016,Mount St. Mary's,6675,5988,0.8970786516853932
2016,Murray State,6225,3693,0.5932530120481928
2016,NC State,6650,5491,0.8257142857142857
2016,NJIT,7051,6582,0.9334846121117572
2016,Navy,6700,6603,0.9855223880597015
2016,Nebraska,6850,4250,0.6204379562043796
2016,Nevada,7750,5408,0.6978064516129032
2016,New Hampshire,6650,6292,0.9461654135338345
2016,New Mexico,6425,5717,0.8898054474708171
2016,New Mexico State,6900,6254,0.9063768115942029
2016,New Orleans,6025,4147,0.688298755186722
2016,Niagara,6499,3326,0.5117710416987229
